Iteration,Interval,Density
161000,9;9.5,9.18667
161000,9.5;10,5.76138
161000,10;10.5,3.60465
161000,10.5;11,1.96494
161000,11;11.5,1.13158
161000,11.5;12,0.539417
161000,12;12.5,0.2386
161000,12.5;13,0.0959335
161000,13;13.5,0.0371639
161000,13.5;14,0.00757547
161000,14;14.5,0.00313477
161000,14.5;15,0.00146293
161000,15;15.5,0
161000,15.5;16,0
162000,0;0.5,0
162000,0.5;1,31.3763
162000,1;1.5,181.135
162000,1.5;2,111.907
162000,2;2.5,118.474
162000,2.5;3,101.244
162000,3;3.5,94.0944
162000,3.5;4,82.5534
162000,4;4.5,74.4053
162000,4.5;5,64.8929
162000,5;5.5,57.365
162000,5.5;6,49.0887
162000,6;6.5,42.1879
162000,6.5;7,35.3725
162000,7;7.5,29.4923
162000,7.5;8,23.4878
162000,8;8.5,18.1752
162000,8.5;9,13.1487
162000,9;9.5,8.97467
162000,9.5;10,5.54211
162000,10;10.5,3.40321
162000,10.5;11,2.01176
162000,11;11.5,1.06369
162000,11.5;12,0.562469
162000,12;12.5,0.244963
162000,12.5;13,0.0802709
162000,13;13.5,0.0335381
162000,13.5;14,0.0151509
162000,14;14.5,0.000783693
162000,14.5;15,0.000731467
162000,15;15.5,0
162000,15.5;16,0
163000,0;0.5,0
163000,0.5;1,33.2861
163000,1;1.5,173.998
163000,1.5;2,113.404
163000,2;2.5,115.312
163000,2.5;3,99.1868
163000,3;3.5,90.3048
163000,3.5;4,80.361
163000,4;4.5,71.9058
163000,4.5;5,63.7865
163000,5;5.5,54.6704
163000,5.5;6,49.3725
163000,6;6.5,41.4183
163000,6.5;7,35.802
163000,7;7.5,29.2442
163000,7.5;8,23.8269
163000,8;8.5,18.6848
163000,8.5;9,13.7867
163000,9;9.5,9.32428
163000,9.5;10,6.0677
163000,10;10.5,3.70613
163000,10.5;11,2.18938
163000,11;11.5,1.20199
163000,11.5;12,0.614336
163000,12;12.5,0.251325
163000,12.5;13,0.111596
163000,13;13.5,0.0344445
163000,13.5;14,0.0126258
163000,14;14.5,0.00235108
163000,14.5;15,0.000731467
163000,15;15.5,0
163000,15.5;16,0
164000,0;0.5,0
164000,0.5;1,29.7392
164000,1;1.5,175.607
164000,1.5;2,110.927
