Iteration,Interval,Density
163000,6;6.5,42.4241
163000,6.5;7,34.8104
163000,7;7.5,28.9869
163000,7.5;8,23.2097
163000,8;8.5,18.2851
163000,8.5;9,13.315
163000,9;9.5,9.03231
163000,9.5;10,5.82833
163000,10;10.5,3.44108
163000,10.5;11,2.15634
163000,11;11.5,1.12907
163000,11.5;12,0.557859
163000,12;12.5,0.246023
163000,12.5;13,0.100828
163000,13;13.5,0.0326317
163000,13.5;14,0.0101006
163000,14;14.5,0.00156739
163000,14.5;15,0.000731467
163000,15;15.5,0
163000,15.5;16,0
164000,0;0.5,0
164000,0.5;1,46.928
164000,1;1.5,174.199
164000,1.5;2,115.108
164000,2;2.5,118.349
164000,2.5;3,103.258
164000,3;3.5,93.7034
164000,3.5;4,84.418
164000,4;4.5,73.9124
164000,4.5;5,65.499
164000,5;5.5,57.3766
164000,5.5;6,49.8391
164000,6;6.5,42.5056
164000,6.5;7,35.3656
164000,7;7.5,28.9929
164000,7.5;8,23.6812
164000,8;8.5,17.8316
164000,8.5;9,13.2526
164000,9;9.5,8.79242
164000,9.5;10,5.61743
164000,10;10.5,3.26539
164000,10.5;11,1.97045
164000,11;11.5,0.984477
164000,11.5;12,0.472566
164000,12;12.5,0.211028
164000,12.5;13,0.0802709
164000,13;13.5,0.0280995
164000,13.5;14,0.0126258
164000,14;14.5,0.000783693
164000,14.5;15,0.000731467
164000,15;15.5,0
164000,15.5;16,0
165000,0;0.5,0
165000,0.5;1,46.928
165000,1;1.5,167.465
165000,1.5;2,115.417
165000,2;2.5,116.188
165000,2.5;3,101.286
165000,3;3.5,92.7109
165000,3.5;4,82.6099
165000,4;4.5,74.5989
165000,4.5;5,64.2164
165000,5;5.5,57.1746
165000,5.5;6,49.2619
165000,6;6.5,42.0617
165000,6.5;7,35.198
165000,7;7.5,28.999
165000,7.5;8,23.3792
165000,8;8.5,18.3295
165000,8.5;9,13.3378
165000,9;9.5,9.22014
165000,9.5;10,5.82666
165000,10;10.5,3.50166
165000,10.5;11,2.01038
165000,11;11.5,1.10644
165000,11.5;12,0.51867
165000,12;12.5,0.249204
165000,12.5;13,0.0969124
165000,13;13.5,0.0326317
165000,13.5;14,0.00420859
165000,14;14.5,0.000783693
165000,14.5;15,0
165000,15;15.5,0
165000,15.5;16,0
166000,0;0.5,0
166000,0.5;1,47.2008
166000,1;1.5,171.787
166000,1.5;2,116.14
166000,2;2.5,114.153
166000,2.5;3,102.44
166000,3;3.5,92.8162
166000,3.5;4,82.6551
166000,4;4.5,73.7892
166000,4.5;5,64.7731
166000,5;5.5,56.7419
166000,5.5;6,49.3581
166000,6;6.5,41.9721
166000,6.5;7,35.3202
166000,7;7.5,29.4288
166000,7.5;8,23.4428
166000,8;8.5,18.1098
166000,8.5;9,13.3295
166000,9;9.5,9.06393
166000,9.5;10,5.8049
166000,10;10.5,3.45471
166000,10.5;11,2.04756
166000,11;11.5,1.10392
166000,11.5;12,0.547485
166000,12;12.5,0.226935
166000,12.5;13,0.113554
166000,13;13.5,0.0280995
166000,13.5;14,0.0151509
166000,14;14.5,0.00235108
166000,14.5;15,0
166000,15;15.5,0
166000,15.5;16,0
167000,0;0.5,0
167000,0.5;1,42.8354
167000,1;1.5,172.591
167000,1.5;2,117.327
167000,2;2.5,117.347
167000,2.5;3,103.51
167000,3;3.5,94.1696
167000,3.5;4,85.2204
167000,4;4.5,74.1149
167000,4.5;5,66.394
167000,5;5.5,57.2438
167000,5.5;6,49.8536
167000,6;6.5,42.2164
167000,6.5;7,35.4214
167000,7;7.5,29.0202
167000,7.5;8,23.011
167000,8;8.5,17.897
167000,8.5;9,12.9949
167000,9;9.5,8.83705
167000,9.5;10,5.5555
167000,10;10.5,3.42745
167000,10.5;11,1.95805
167000,11;11.5,1.04231
167000,11.5;12,0.520976
167000,12;12.5,0.217391
167000,12.5;13,0.0704817
167000,13;13.5,0.0344445
167000,13.5;14,0.00757547
167000,14;14.5,0.00235108
167000,14.5;15,0
167000,15;15.5,0
167000,15.5;16,0
168000,0;0.5,0
168000,0.5;1,39.8342
168000,1;1.5,168.068
168000,1.5;2,112.475
168000,2;2.5,114.247
168000,2.5;3,97.6127
168000,3;3.5,91.2071
168000,3.5;4,80.2254
168000,4;4.5,72.4514
168000,4.5;5,63.1522
168000,5;5.5,56.2283
168000,5.5;6,48.2372
168000,6;6.5,41.9232
168000,6.5;7,35.1142
168000,7;7.5,29.3501
168000,7.5;8,23.9196
168000,8;8.5,18.5072
168000,8.5;9,13.8034
168000,9;9.5,9.5214
168000,9.5;10,6.10954
168000,10;10.5,3.73945
168000,10.5;11,2.17011
168000,11;11.5,1.20325
168000,11.5;12,0.635083
168000,12;12.5,0.254507
168000,12.5;13,0.124322
