Iteration,Bin,Density,Velocity X,Velocity Y,Velocity Z
50000,14,0.625,0.339249,-12.0077,0.191427
50000,15,0.625,-0.536614,-12.3893,0.433116
50000,16,0.652778,0.0817974,-11.9865,0.761201
50000,17,0.592593,0.145546,-12.8555,-0.466111
50000,18,0.634259,-0.0396984,-13.3302,0.231321
50000,19,0.625,-0.940055,-13.6175,0.243092
50000,20,0.597222,-0.192368,-13.5139,0.31193
50000,21,0.611111,0.702212,-13.707,0.0308594
50000,22,0.634259,0.0820797,-13.666,0.0301692
50000,23,0.703704,-0.696443,-13.9692,-0.156597
50000,24,0.574074,-0.349186,-13.5991,0.0879747
50000,25,0.606481,-0.420653,-14.2462,0.182371
50000,26,0.569444,0.114888,-13.2765,0.0176296
50000,27,0.657407,-0.100934,-13.5694,0.533976
50000,28,0.643519,-0.135541,-13.0587,0.0913879
50000,29,0.569444,-0.19569,-12.2562,0.0418691
50000,30,0.615741,0.446166,-12.8559,-0.0629709
50000,31,0.564815,0.0913475,-13.5414,-0.587583
50000,32,0.560185,0.568321,-12.6354,-0.248542
50000,33,0.601852,-0.626845,-11.9954,0.504573
50000,34,0.574074,0.171862,-11.7705,0.209262
50000,35,0.569444,0.0741372,-10.6936,0.39574
50000,36,0.615741,-0.661503,-10.6578,-0.089018
50000,37,0.518519,-0.448339,-8.28651,-0.503215
50000,38,0.50463,-0.147442,-8.95457,-0.0146389
50000,39,0.518519,-0.125583,-7.83154,0.428724
50000,40,0.574074,-1.36477,-8.11847,-0.0626708
50000,41,0.518519,-0.0993601,-6.89597,0.312567
50000,42,0.444444,-0.52413,-5.61956,-0.207109
50000,43,0.587963,0.0614676,-4.69414,-0.114497
50000,44,0.0740741,-3.05685,-5.87429,0.464377
50000,45,1.66667,0,0,0
50000,46,-,-,-,-
50000,47,1.66667,0,0,0
50000,48,-,-,-,-
50000,49,-,-,-,-
60000,0,-,-,-,-
60000,1,1.66667,0,0,0
60000,2,-,-,-,-
60000,3,1.66667,0,0,0
60000,4,0.305556,-0.669411,-5.26306,-0.40181
60000,5,0.518519,-0.161896,-5.38458,-0.324276
60000,6,0.555556,-0.924144,-7.35786,0.185139
60000,7,0.458333,-0.529307,-8.14334,-0.181693
60000,8,0.49537,0.714929,-8.73754,0.792602
60000,9,0.583333,-0.0426643,-9.41842,0.769777
60000,10,0.513889,-0.1271,-10.4528,0.274808
60000,11,0.550926,0.369404,-10.8067,-0.189843
60000,12,0.532407,0.492503,-11.7151,-0.116259
60000,13,0.560185,0.552998,-12.0606,-1.18476
60000,14,0.606481,-0.173241,-11.6265,0.493213
60000,15,0.560185,0.266634,-12.7677,0.160604
60000,16,0.569444,-0.44658,-13.2118,-0.178576
60000,17,0.606481,0.375187,-14.3461,0.270875
60000,18,0.601852,0.383692,-14.3059,-0.69101
60000,19,0.671296,0.808669,-14.1335,0.13988
60000,20,0.666667,0.136471,-14.2173,0.00881457
60000,21,0.583333,-1.08028,-15.9734,0.236702
60000,22,0.666667,0.530753,-15.4207,0.117812
60000,23,0.592593,0.320862,-15.6986,0.093268
60000,24,0.685185,0.470685,-15.7223,0.437389
60000,25,0.62963,1.11401,-14.7531,0.078708
60000,26,0.597222,0.588156,-14.1583,0.550807
60000,27,0.634259,0.917164,-15.0972,0.0972612
60000,28,0.671296,0.858717,-15.0759,0.325921
60000,29,0.601852,0.252268,-15.0501,-0.186737
60000,30,0.638889,-0.373811,-14.5777,-0.582924
60000,31,0.569444,0.29366,-14.9433,-0.089944
60000,32,0.615741,0.687029,-13.9004,1.19908
60000,33,0.643519,-0.0390097,-13.155,-0.39647
60000,34,0.606481,-0.286889,-13.1604,0.369165
60000,35,0.578704,0.268309,-11.7155,-1.75215
60000,36,0.574074,-1.24706,-11.1661,-0.221888
60000,37,0.560185,-0.339096,-9.79631,0.698286
60000,38,0.597222,-0.572331,-11.2854,-0.0597105
60000,39,0.481481,1.15933,-9.24211,-0.369718
60000,40,0.601852,0.882498,-8.11579,-0.388056
60000,41,0.527778,0.269107,-7.22926,-0.511633
60000,42,0.472222,-0.0259118,-6.39246,0.0905391
60000,43,0.597222,-0.0112941,-5.4684,0.405777
60000,44,0.0648148,-0.270416,-2.32348,-0.0783152
60000,45,1.66667,0,0,0
60000,46,-,-,-,-
60000,47,1.66667,0,0,0
60000,48,-,-,-,-
60000,49,-,-,-,-
70000,0,-,-,-,-
70000,1,1.66667,0,0,0
70000,2,-,-,-,-
70000,3,1.66667,0,0,0
70000,4,0.25,-0.375664,-5.60848,-0.690111
70000,5,0.555556,1.42574,-7.62021,-0.838728
70000,6,0.550926,0.225587,-7.78821,0.869776
70000,7,0.481481,-0.186388,-8.85814,0.580858
